X,Y,Potential_Energy
2.996321,1.110798,-2.324661
7.605714,3.251406,-0.018615
5.855952,5.237675,-1.206398
4.789268,4.393349,-2.660737
1.248149,4.839367,0.055832
1.247956,3.952700,0.611911
0.464669,4.153659,-0.421832
6.929409,5.095174,-0.275272
4.808920,1.498008,-0.161262
5.664581,2.936550,-0.892807
0.164676,1.327257,-2.916259
7.759279,5.926008,-0.041651
6.659541,5.664356,-0.366536
1.698713,0.236561,-1.378025
1.454600,4.233451,0.849116
1.467236,5.551490,-0.026223
2.433938,1.083452,-3.009040
4.198051,3.407671,-1.806343
3.455560,5.492930,-0.875630
2.329833,0.203676,-1.240122
4.894823,4.184522,-2.503270
1.115951,1.784094,-4.297943
2.337157,5.546377,-0.154102
2.930895,5.826349,-0.266619
3.648560,5.665599,-0.834740
6.281408,2.845285,-0.313395
1.597390,5.172256,-0.048997
4.113876,5.067296,-2.186818
4.739317,1.914603,0.010207
0.371603,4.973493,-0.072446
4.860359,0.222046,-0.103630
1.364193,3.577619,0.379551
0.520413,1.380053,-3.640192
7.591084,0.723401,-0.000155
7.725056,0.461719,-0.000052
6.467179,4.177733,-0.567052
2.436910,2.039250,-1.910781
0.781377,4.348601,-0.028417
5.473864,0.392138,-0.040586
3.521220,1.891742,-0.943857
0.976306,3.236948,-1.433298
3.961415,4.744339,-2.330742
0.275108,1.912515,-4.176708
7.274563,3.755348,-0.077791
2.070240,5.315866,-0.129254
5.300178,3.695179,-1.944490
2.493689,1.397757,-2.990698
4.160544,0.146405,-0.274438
4.373682,5.220593,-2.103711
1.478836,0.127616,-1.117214
7.756677,5.248210,-0.045611
6.201063,3.173623,-0.501962
7.515992,5.634406,-0.077604
7.158619,4.792699,-0.171521
4.783200,5.987605,-0.986839
7.374994,2.104271,-0.006433
0.707940,4.603130,-0.060393
1.567863,2.411585,-2.382329
0.361818,2.879254,-3.257672
2.602643,3.765033,0.717037
3.109418,5.242063,-0.809110
2.170792,5.904501,-0.056318
6.629900,4.609640,-0.469343
2.854027,2.506601,-1.119572
2.247476,2.528142,-1.132226
4.341569,4.425494,-2.570014
1.127394,1.432663,-4.148684
6.417576,0.662845,-0.006264
0.596405,2.127733,-4.540443
7.895095,1.723434,-0.000511
6.177958,1.777849,-0.088651
1.589725,1.401647,-3.932415
0.044177,0.252559,-0.608439
6.523691,0.107244,-0.001568
5.654859,5.926334,-0.858213
5.832057,2.566639,-0.490593
6.170163,2.305960,-0.200924
0.592357,4.077884,-0.390960
2.867726,1.309523,-2.536965
0.926952,5.699767,-0.008762
6.904827,4.718070,-0.285146
4.986385,0.536466,-0.137013
2.647184,2.505485,-1.097116
0.508467,5.274710,-0.030824
2.487859,5.668392,-0.165407
2.601467,2.804409,-0.684138
5.836849,3.680468,-1.226541
5.100460,1.002204,-0.193201
7.097702,5.947012,-0.156210
3.777719,1.390030,-1.133455
0.956754,5.656391,-0.010226
5.705958,3.897880,-1.549993
6.086280,3.646421,-0.849328
4.490218,3.076131,-1.469017
6.167737,1.384019,-0.046432
3.950365,1.059168,-1.018495
4.181863,1.322917,-0.688216
3.420328,1.118630,-1.730039
0.203353,4.677507,-0.164430
0.863131,2.100752,-4.426427
0.251433,0.347056,-0.870398
5.091283,5.814616,-1.195126
2.514848,5.302715,-0.307017
4.068566,5.566514,-1.301089
7.260532,5.969447,-0.115062
1.994338,1.043371,-3.334959
3.283063,2.377452,-1.105302
6.044409,4.549431,-1.152128
1.830385,4.176124,1.179054
0.615839,0.923375,-2.542656
2.318012,4.894999,-0.189626
1.289770,1.346643,-4.030393
7.437581,1.342906,-0.001104
6.464963,3.221847,-0.314695
5.067230,3.557640,-1.966510
6.971685,3.480517,-0.129287
6.429377,0.548921,-0.004841
1.492560,5.264765,-0.042218
7.140472,1.593600,-0.004950
4.314738,0.777090,-0.538831
6.459521,5.332488,-0.565009
7.168730,5.733909,-0.151712
2.544028,5.172766,-0.370272
0.880415,4.857096,-0.023745
1.823481,3.931452,1.351408
3.416862,3.305144,-1.225477
6.544118,0.521921,-0.003287
6.885845,2.450719,-0.046692
0.055617,2.236131,-3.889822
4.085978,1.558523,-0.547452
3.339288,4.340521,-1.025070
1.776862,2.975254,-0.434306
0.958923,0.486277,-1.683340
2.700921,1.321099,-2.765000
7.543278,4.099553,-0.050369
2.585623,0.456785,-1.622452
4.150325,5.107241,-2.154606
5.624152,2.970879,-0.960277
2.909037,2.883519,-0.861326
7.774257,3.554447,-0.016032
7.699578,4.948086,-0.050158
2.014258,2.086855,-2.314202
3.977988,4.068097,-1.889687
2.407026,3.394392,0.547889
2.278724,1.602170,-2.988043
0.295096,5.271780,-0.032828
4.876515,4.784556,-2.641564
4.021432,3.950711,-1.875274
0.411830,5.103490,-0.050946
2.229172,5.203765,-0.198085
7.266127,4.250178,-0.111166
1.916495,5.022080,-0.074726
1.159159,4.184829,0.479719
3.915622,4.080845,-1.816750
7.885204,3.711668,-0.013561
1.936442,4.516300,0.553221
5.377084,0.951631,-0.115276
6.092957,5.285225,-0.920032
1.901100,5.231061,-0.097038
5.825731,0.175484,-0.012062
2.942265,4.954901,-0.799583
5.058447,0.773219,-0.167936
5.068238,2.010713,-0.152718
4.286197,4.461050,-2.558989
0.722318,0.964559,-2.787477
6.682420,4.907802,-0.433547
2.566241,4.992805,-0.411058
1.492148,3.044806,-0.740091
0.326201,0.038315,-0.514448
4.727144,1.722229,-0.033202
5.420515,3.701562,-1.827238
0.132703,5.887117,-0.004229
4.096744,3.790881,-1.889756
1.811966,1.558821,-3.634552
5.161382,3.804034,-2.132071
1.394931,3.239912,-0.383560
5.527502,4.679072,-1.953071
3.093883,0.641884,-1.543406
7.493840,4.566167,-0.074111
1.100168,3.247599,-1.094980
2.728531,5.777952,-0.208836
0.907788,2.051233,-4.414241
7.397549,3.795731,-0.058539
7.018715,5.592169,-0.210256
2.063533,0.615058,-2.269525
5.279872,5.623371,-1.365466
6.537778,4.127314,-0.490294
4.441606,0.407022,-0.276842
4.237205,1.805781,-0.154480
1.934818,4.249033,1.075921
0.744822,0.404104,-1.340136
7.177726,3.493023,-0.078730
7.203344,2.075298,-0.010314
5.064812,3.725493,-2.116259
2.712238,0.274452,-1.200797
2.793677,5.229221,-0.528755
5.807645,5.840934,-0.837383
7.176882,5.813267,-0.144623
7.096691,4.497911,-0.182063
6.239004,0.780517,-0.012843
5.136253,4.549579,-2.497999
0.673120,0.147521,-0.823784
1.293030,0.132741,-1.074213
7.188434,1.941661,-0.008438
4.851432,2.931859,-1.222641
0.073576,4.622445,-0.195672
0.811772,4.099772,-0.093464
5.308014,2.675416,-0.839727
0.040493,1.641760,-3.335974
1.286464,5.982747,-0.006329
4.389870,2.557088,-0.639997
5.535162,2.708322,-0.786458
5.215690,0.981743,-0.157262
1.794154,4.768857,0.151220
5.697434,4.162093,-1.669389
1.897993,1.324618,-3.683605
2.603198,0.494286,-1.688368
5.971931,4.082996,-1.193780
5.197063,3.927067,-2.196223
6.793787,1.639557,-0.015059
5.260903,5.705181,-1.275610
4.546469,0.906347,-0.436979
0.749398,2.594009,-3.761333
2.941726,5.661696,-0.356595
2.121619,2.518364,-1.237109
1.951917,3.831156,1.365459
7.784084,2.385566,-0.002850
3.144782,1.645291,-1.758858
7.136372,5.903866,-0.149210
5.049109,2.456004,-0.547349
6.358490,5.364595,-0.641054
4.021097,1.379728,-0.822157
4.615231,1.278628,-0.366766
3.940142,0.186804,-0.386905
1.561944,3.910001,1.119215
5.779617,2.211158,-0.324669
2.246179,5.186149,-0.207344
0.194528,2.839259,-3.276040
5.163778,5.809161,-1.183956
1.416885,1.113153,-3.642023
7.523669,5.211739,-0.079504
7.631429,4.659581,-0.054425
7.318915,4.625531,-0.115166
2.961270,5.068699,-0.780496
0.123653,4.566144,-0.220963
7.426549,3.757322,-0.052457
3.425473,0.787469,-1.405013
7.733239,0.195157,-0.000030
7.708960,5.525087,-0.051023
6.824076,3.699902,-0.216817
2.355591,4.779224,-0.115353
3.080782,2.889134,-1.030710
6.809093,0.703849,-0.002130
2.535376,0.751115,-2.300925
1.355942,4.113392,0.808102
4.454410,2.581835,-0.663137
7.489238,1.203148,-0.000674
5.568238,2.949567,-0.990614
4.560489,0.385254,-0.223391
0.777412,3.491828,-1.156112
4.920058,1.613960,-0.099204
7.920431,4.785355,-0.026576
1.120672,1.862172,-4.260164
4.146637,2.731321,-1.046357
7.018985,0.069723,-0.000305
5.926149,0.434681,-0.015083
5.576126,2.354961,-0.475692
5.619873,2.879633,-0.882871
2.875929,3.600123,0.042111
2.348735,1.749975,-2.608033
6.474889,4.169891,-0.557882
6.480907,5.160734,-0.577375
6.936579,4.679106,-0.266163
7.305924,0.237713,-0.000156
4.090739,2.883042,-1.300330
4.012130,0.629581,-0.663979
6.386361,1.452270,-0.031293
5.199711,5.919976,-1.043366
5.615735,0.854973,-0.063936
6.366341,2.993329,-0.308812
7.120043,3.708934,-0.109997
2.703961,4.214790,0.372284
3.004664,3.357892,-0.495138
0.751856,0.058625,-0.731329
4.626241,1.958768,0.024516
0.287538,3.106270,-2.651169
3.724784,0.527199,-0.798552
4.341157,2.103762,-0.080057
2.292330,0.199219,-1.242939
4.726666,0.471471,-0.194948
0.244002,2.381540,-4.108496
0.298786,0.796295,-1.807038
6.580804,3.405245,-0.290417
2.881525,4.136790,0.127068
1.016484,4.803520,0.019800
4.177946,1.200901,-0.760825
6.159948,1.004895,-0.023986
1.726568,0.627407,-2.365822
4.983124,3.818581,-2.215286
0.682780,4.238854,-0.167806
0.413454,0.189517,-0.742650
4.250837,5.617273,-1.340742
4.325081,0.311828,-0.283746
5.099439,3.247778,-1.620178
5.808731,4.254363,-1.505975
7.806817,5.225815,-0.040146
4.130403,4.284522,-2.254259
2.583652,4.810368,-0.350438
6.361490,2.036701,-0.090207
2.166658,4.888951,-0.097021
3.511771,0.480689,-0.921693
0.627651,5.368900,-0.022848
0.202806,3.285554,-2.172250
7.701187,4.903787,-0.049394
6.687841,2.713910,-0.110331
5.567794,3.861466,-1.741359
3.271624,3.158416,-1.109248
1.386355,4.389537,0.596565
1.251496,0.489780,-1.864651
2.001943,0.362113,-1.654795
4.393813,1.482619,-0.347525
5.716767,0.957268,-0.060322
5.281579,5.230701,-1.843505
2.239471,1.315284,-3.344105
7.638922,5.855192,-0.055822
5.903175,2.021375,-0.209858
4.434832,1.092707,-0.546523
4.893766,4.738191,-2.655485
3.356800,3.952247,-0.795291
1.981848,2.989174,-0.196913
2.847781,3.332181,-0.239504
6.062769,4.315211,-1.106356
0.115148,1.370728,-2.924571
0.928581,5.978003,-0.003605
0.368021,5.848759,-0.004721
0.325830,3.901954,-0.828600
6.843685,1.197255,-0.005392
5.629263,4.081369,-1.752945
3.793391,0.433190,-0.656213
0.782673,0.183915,-0.940598
3.932927,1.546097,-0.748354
3.787774,2.775738,-1.260417
1.385615,5.209635,-0.035762
3.470813,4.363014,-1.308352
3.188038,4.456239,-0.867484
4.926801,2.552960,-0.643602
5.080749,2.075610,-0.193859
0.362432,2.226233,-4.360500
2.996901,5.925897,-0.248240
5.006879,0.240655,-0.081538
4.025090,5.202189,-1.883962
6.851919,3.472052,-0.169755
5.269549,2.631693,-0.793913
1.303475,4.351546,0.559965
0.564550,2.920014,-3.084776
5.139354,5.240539,-1.950447
0.212090,5.404211,-0.022075
4.686205,2.530326,-0.559713
7.521842,1.660967,-0.001658
4.603793,3.554102,-1.986750
3.105359,5.474180,-0.596317
5.146306,1.263973,-0.183157
3.666023,3.737800,-1.388610
4.364934,3.789361,-2.068093
7.531718,4.398678,-0.062333
3.088821,0.789406,-1.796718
7.689525,4.294950,-0.038749
7.242805,5.454195,-0.142733
1.566329,1.078099,-3.564982
0.554890,1.425260,-3.791179
0.806224,5.828371,-0.005371
0.145775,1.085862,-2.292827
0.755544,5.126311,-0.038542
5.464054,2.953667,-1.077121
0.569509,1.483386,-3.935136
2.551805,5.224499,-0.357926
6.759002,2.671832,-0.087938
0.186175,3.088904,-2.665776
6.515748,2.155400,-0.075677
2.254838,3.557705,0.970242
0.945319,0.981143,-3.064328
5.573897,2.346489,-0.470287
5.031543,5.816474,-1.203808
7.019776,1.548801,-0.006535
5.880568,3.940420,-1.288114
6.427847,1.951140,-0.067446
2.256277,4.640839,0.157073
1.419516,0.785242,-2.774788
6.004918,5.818926,-0.724517
6.454678,2.722737,-0.190017
7.924041,1.416303,-0.000228
3.300941,0.440980,-1.044579
2.976145,1.018547,-2.267686
6.211304,3.118644,-0.469429
2.726428,2.022019,-1.673822
7.446059,4.973300,-0.093097
6.867302,2.585325,-0.059537
3.431952,1.492286,-1.537370
6.006969,3.702870,-0.985566
6.036343,4.240663,-1.133349
0.824991,1.002251,-3.009020
7.220423,1.005715,-0.001083
4.042019,0.220029,-0.359727
6.611660,4.418412,-0.468712
2.560397,3.982827,0.820750
7.164186,2.847785,-0.038886
3.113613,5.065023,-0.960254
0.086701,4.834021,-0.115422
7.243056,3.512126,-0.067806
0.730293,5.209628,-0.033418
2.554509,1.235047,-2.970491
7.600496,0.671518,-0.000133
7.604857,1.618498,-0.001140
4.587503,0.342521,-0.200288
5.054698,3.187017,-1.558576
3.587564,5.619634,-0.840103
2.345686,0.236061,-1.296639
2.629316,0.732659,-2.175931
5.380148,2.713194,-0.862900
6.018996,5.603250,-0.835583
6.332632,1.896937,-0.076999
6.316945,3.043409,-0.358113
0.729649,0.249437,-1.025009
3.955362,0.890059,-0.925328
0.460470,5.919781,-0.003620
4.396231,5.790712,-1.149537
3.532244,0.029640,-0.465320
7.101633,5.710871,-0.173225
2.807320,3.834720,0.360595
0.936536,5.207510,-0.030629
1.143933,2.728439,-2.583753
