position	-logP	df
0.000000	18.069384	0.707186
0.307692	14.823824	0.162862
0.615385	11.583806	0.042344
0.923077	8.836086	0.016382
1.230769	6.380285	0.008771
1.538462	4.221041	0.006162
1.846154	2.431138	0.005002
2.153846	1.097166	0.004268
2.461538	0.284391	0.003771
2.769231	0.000000	0.000000
3.076923	0.168930	0.003960
3.384615	0.683266	0.004554
3.692308	1.415142	0.005222
4.000000	2.288931	0.005906
4.307692	3.212475	0.006584
4.615385	4.098718	0.007228
4.923077	4.883493	0.007810
5.230769	5.555481	0.008372
5.538462	6.044008	0.008827
5.846154	6.358089	0.009214
6.153846	6.465919	0.009483
6.461538	6.382417	0.009673
6.769231	6.080467	0.009740
7.076923	5.619156	0.009784
7.384615	5.020482	0.009818
7.692308	4.338303	0.009875
8.000000	3.620060	0.009953
8.307692	2.947122	0.010063
8.615385	2.397034	0.010198
8.923077	2.069407	0.010356
9.230769	2.083501	0.010540
9.538462	2.552041	0.010754
9.846154	3.543227	0.011011
10.153846	5.031593	0.011358
10.461538	6.920938	0.011994
10.769231	9.186019	0.013912
11.076923	11.749511	0.021449
11.384615	14.720428	0.055617
11.692308	17.900557	0.205168
12.000000	20.303130	0.577474
