step	best_direction	RMSD	Rg	Energy
0.000000	4.000000	10.271552	13.424334	-2981.930400
1.000000	4.000000	9.512261	12.713476	-3142.224000
2.000000	1.000000	9.181543	12.503748	-2589.719700
3.000000	3.000000	8.665767	12.073351	-1509.274300
4.000000	6.000000	8.167725	11.566582	-1462.862300
5.000000	3.000000	7.705049	11.135209	-1030.937300
6.000000	8.000000	6.414308	10.409874	-1729.378900
7.000000	4.000000	6.863496	10.235605	-2415.916500
8.000000	7.000000	5.715288	9.808263	-1943.104000
9.000000	1.000000	6.227161	9.156229	242.484200
10.000000	3.000000	5.811553	8.808764	-1155.459700
11.000000	6.000000	5.663284	8.672421	-1449.557600
12.000000	1.000000	5.619017	8.844231	-982.821600
13.000000	4.000000	5.644541	8.773305	-1247.153200
14.000000	1.000000	4.642434	7.772187	-1495.851200
15.000000	7.000000	4.364492	6.950781	-440.086200
16.000000	6.000000	4.555963	7.055142	-1048.387400
17.000000	3.000000	4.696439	7.071343	-2082.528800
18.000000	6.000000	4.524892	6.847636	-1138.447700
19.000000	8.000000	4.487030	7.005834	128.068800
20.000000	4.000000	4.461346	6.972143	-871.375500
21.000000	8.000000	4.422626	6.754664	-612.737400
22.000000	2.000000	4.528568	6.914007	-1034.164500
23.000000	2.000000	4.554717	6.889445	-342.541300
24.000000	3.000000	4.578601	6.940783	-786.674400
25.000000	6.000000	4.557593	6.954056	-1420.925900
26.000000	5.000000	4.600573	6.907071	-2004.990700
27.000000	3.000000	4.453515	6.829484	-1003.375700
28.000000	3.000000	4.620657	6.962627	-1516.749900
29.000000	5.000000	4.042740	7.127918	-295.396000
30.000000	1.000000	4.730022	7.106465	-1811.638200
31.000000	1.000000	4.521598	6.866383	-585.513400
32.000000	5.000000	4.526261	6.923840	467.188600
33.000000	2.000000	4.655619	7.072231	-1392.515000
34.000000	4.000000	4.599728	7.010489	-1369.729000
35.000000	8.000000	4.561972	6.925738	-790.982400
36.000000	3.000000	4.527917	6.853279	-676.033000
37.000000	7.000000	4.534475	6.947639	-2118.004100
38.000000	3.000000	4.763846	7.069151	-971.586200
39.000000	3.000000	4.532424	7.006578	-1307.099200
40.000000	2.000000	4.582585	6.867052	-805.008500
41.000000	8.000000	4.506575	7.024253	-1707.259900
42.000000	8.000000	4.717425	7.026597	-1557.735600
43.000000	3.000000	4.650498	7.054261	-1920.795600
44.000000	8.000000	4.578098	6.954971	-1445.303400
45.000000	7.000000	4.394943	6.888359	-1372.206900
46.000000	1.000000	4.423604	6.838364	-1380.363400
47.000000	6.000000	4.680561	7.070332	-923.954500
48.000000	1.000000	4.467826	6.949148	8.133000
49.000000	3.000000	4.531196	6.864194	-953.740600
50.000000	8.000000	10.289012	13.381019	-3043.576500
51.000000	8.000000	10.013788	13.126769	-3069.483700
52.000000	4.000000	9.560026	12.765532	-3856.938900
53.000000	5.000000	7.764144	10.866561	-707.517000
54.000000	6.000000	7.297290	10.734371	-1625.145400
55.000000	3.000000	5.882530	9.961577	-2173.370100
56.000000	7.000000	4.153078	8.734372	-2721.381800
57.000000	5.000000	4.178086	8.725418	-2036.861200
58.000000	1.000000	3.898064	8.062148	1025.315000
59.000000	8.000000	3.693836	8.426298	-356.898500
60.000000	8.000000	3.954224	8.177125	70.452100
