step	direction	RMSD(A)	Rg(A)	Energy	CVs_grad
0	1	10.4273921114541	13.594201	-2251.1102	-1457.7199820053138
0	2	9.97436175007869	13.162289	-3049.9729	-1398.1151016632944
0	3	10.478249986440984	13.547177	-2486.8297	-1686.9201915235199
0	4	10.271551669441934	13.424334	-2981.9304	-1823.3814508564449
0	5	9.33982016360519	12.650704	-2479.9767	-678.3722831748345
0	6	8.406811670922254	11.649245	-1034.0679	-34.37422696223629
0	7	10.288517657507647	13.4014015	-1853.0299	-817.2278283656639
0	8	10.297450095231536	13.441361	-1890.002	-884.3785110622049
1	1	10.060514499969061	13.233586	-1676.2422	4175.87348688419
1	2	10.12759754538608	13.185353	-1134.9006	5852.4999784038455
1	3	9.079578489297399	12.383158	-1770.0659	761.3164134494223
1	4	9.512260555233803	12.713476	-3142.224	-151.61015732210137
1	5	10.108042680957542	13.286598	-2020.7016	4378.070119367376
1	6	10.273291075138712	13.396714	-2880.7052	1830.7162474561708
1	7	10.60465868573478	13.687673	-2975.5816	16.654571535764298
1	8	9.559607496314989	12.842889	-2566.0315	464.1063191436786
2	1	9.181543407784925	12.503748	-2589.7197	1668.0466812877505
2	2	10.126130443762316	13.290091	-2960.6162	220.1112427570644
2	3	9.006007744888306	12.433985	-1857.0485	2313.914414446533
2	4	8.491638233572344	12.13119	-457.508	2241.0263668998405
2	5	9.475352704615602	12.8124075	-2214.85	6988.244413312512
2	6	9.896974546336153	13.020195	-1545.8414	3427.7308160529456
2	7	9.104748868489347	12.456383	420.4936	7007.83751252178
2	8	8.41545231455952	11.685985	235.5608	2212.414043050132
3	1	9.63945920085636	12.944532	-1913.1977	1124.3921876589025
3	2	8.239059264556161	11.699681	-421.8139	1614.1403884302242
3	3	8.665767270090274	12.073351	-1509.2743	1497.023688657859
3	4	8.496240416971638	11.849883	-452.2724	1940.6693404084929
3	5	8.29886739267952	11.646307	644.4587	2502.597289726132
3	6	9.149001141216862	12.393113	-1604.1465	4417.351099810391
3	7	9.035149262621996	12.111062	376.7394	5362.106902956119
3	8	9.675664362378567	12.84283	-1760.4276	1604.8940512068693
4	1	7.894411490493056	11.286642	-159.2316	1121.4848202892736
4	2	9.334795014717516	12.618763	-1930.1348	-482.69619694185377
4	3	7.61625449428195	10.917389	-1255.931	160.13441402361357
4	4	7.411360255075408	10.811018	-1242.6943	143.3229120663147
4	5	8.232933374804809	11.525763	101.0677	2094.6910010108377
4	6	8.167725077652085	11.566582	-1462.8623	61.39541620038152
4	7	7.309207072118822	10.537425	68.1445	749.4266742066685
4	8	8.122139948278129	11.4002905	-551.3852	980.8858317344465
5	1	8.641525471814104	12.060596	-1558.518	-138.1229175390343
5	2	8.735383013073335	12.0176325	-1144.4454	441.4079081355375
5	3	7.705048595424729	11.135209	-1030.9373	693.0405405347375
5	4	7.743098304607904	11.255541	-563.1576	1611.987299533091
5	5	8.290506744816316	11.655932	-1927.8837	-3966.9017442893223
5	6	8.603296080763155	11.8699	-1967.5177	-865.6259240945641
5	7	7.651311067540965	10.869799	-672.562	801.570240839441
5	8	8.152424388822832	11.76459	-178.0062	5943.415719398989
6	1	5.817259858809122	9.896324	17.413	479.728341647673
6	2	6.768392775106359	9.7642355	-589.4676	242.20631235454897
6	3	4.990779843750219	9.095352	1301.8317	676.2483778431466
6	4	5.218663849561718	9.580592	455.8117	499.9166110799423
6	5	6.53421605036054	9.7878275	101.0455	635.3981034602659
6	6	6.512831541645866	10.422714	264.7255	909.9348102573523
6	7	6.66419148668157	10.418138	-753.3531	205.5387836378011
6	8	6.414308281065841	10.409874	-1729.3789	-411.6861845003384
7	1	5.008512404703216	9.516312	-136.3843	1019.2325255220845
7	2	7.185509574948801	11.111155	-1041.0042	674.9205409091454
7	3	5.943461304135933	10.31697	-1763.7071	-83.73027333697299
7	4	6.863495902425399	10.235605	-2415.9165	-1383.1683790545621
7	5	7.831766770781636	11.377846	951.255	1374.2857612915236
7	6	5.94360689029517	9.612474	-968.9304	889.5634727743865
7	7	6.953931873986851	10.39591	-219.515	2602.9311746508215
7	8	7.258445692895513	11.14948	-1736.7872	-6.512307222603188
8	1	5.542097094478745	9.469196	857.476	2456.8889995166073
8	2	5.705589080567174	9.66254	848.9075	2681.534700336008
8	3	7.798672975658682	10.828024	-1331.1796	984.9691771199278
8	4	7.532091823897644	10.485967	-1415.3111	1377.0164102225142
8	5	7.04456019226098	9.8953085	184.7649	6365.886897055318
8	6	6.203733727744273	8.951024	1106.8025	2177.5633382303163
8	7	5.7152879347127	9.808263	-1943.104	380.63229739681555
8	8	7.528968253664491	11.240156	-1720.536	584.2190633285087
9	1	6.227160943582146	9.156229	242.4842	2686.4911290479836
9	2	6.297951037310023	10.016985	-1431.4919	809.8875093575222
9	3	7.04656520990589	10.594199	-1278.975	434.45416137308496
9	4	7.256204813915977	10.173182	886.6013	1720.6879420320377
9	5	6.771328895546479	9.878659	-53.5121	1676.575838413029
9	6	6.395504756696144	9.860315	48.0128	3134.1273446297523
9	7	6.326393037546031	10.0041895	-1078.5685	1315.1145805175445
9	8	6.241272992336683	9.589515	-32.9803	3430.2628717624684
10	1	5.0084640680456545	8.099256	465.2874	138.38406709018648
10	2	7.362940835776104	10.733468	178.9737	-34.71139319837174
10	3	5.811553115054627	8.808764	-1155.4597	-2557.5178701798245
10	4	7.91183404820348	10.543779	-73.4233	-150.00237263304606
10	5	6.044177529149928	9.466536	-248.913	-1171.869794132546
10	6	7.147202054424776	9.935047	-52.5195	-248.6992341287082
10	7	6.968744037704397	10.269455	1239.1132	718.0691424545048
10	8	6.168612177386978	9.184324	1080.0209	11751.6172798199
11	1	6.244148946288818	9.46253	-150.6429	1293.876541724689
11	2	4.915869021657228	8.347322	-1140.5662	14.551813400530035
11	3	4.885565724461558	8.016475	-2442.603	-1061.5561737222645
11	4	6.472604134576975	9.4988785	1020.6356	2173.3795659093075
11	5	6.66578948284918	9.38115	-839.0227	294.68733222973503
11	6	5.663283783269408	8.672421	-1449.5576	-1299.8453377892467
11	7	7.084470858932192	9.89535	-84.9007	616.0391747675675
11	8	5.445414111163627	8.539847	-1408.2118	-550.1874707039533
12	1	5.619017454638604	8.844231	-982.8216	2670.5951749913397
12	2	6.355685073812466	9.343473	1097.6374	2476.790695929304
12	3	6.614624527108957	9.392724	-707.9093	576.7665620303741
12	4	5.435615063449643	9.15474	-726.1191	1374.334165421976
12	5	6.28618322557206	9.810691	83.2748	1229.4383484555171
12	6	6.554583771674046	9.380549	1032.2512	1836.6925348652796
12	7	6.949870526453376	9.6991625	-66.9274	800.5008024560981
12	8	5.893330944591174	9.37629	-422.1313	1397.7534937876608
13	1	6.938484714386816	9.588344	290.7871	807.9283482534397
13	2	6.594829043936891	9.877354	-5.6142	665.1365171077952
13	3	6.087404573677577	8.839985	-347.231	1377.6161423536485
13	4	5.644541372209957	8.773305	-1247.1532	-3956.519050593586
13	5	5.618178795386621	8.808815	249.2953	16384.402866258177
13	6	5.314352092081244	8.598327	-334.7457	1645.4592981789096
13	7	6.837621112893837	10.076127	402.0539	722.5071006180402
13	8	6.828179640098876	9.483283	-2032.209	-721.2914263652949
14	1	4.6424335164459025	7.772187	-1495.8512	-163.21013655300723
14	2	6.439972448764004	9.307666	221.3605	1517.9732917535728
14	3	5.646469841101345	8.864765	-2363.2723	-9743.514898465535
14	4	7.046820894393695	10.380732	-731.7767	223.87971307099517
14	5	5.408129249039187	8.680401	-494.2415	3045.5168500518153
14	6	6.963473398103153	9.9427	-557.5856	409.45460505607025
14	7	7.3032486557074945	9.883878	-316.3251	448.6636046117379
14	8	5.338849848268334	9.066035	-666.3193	1295.6412367614942
15	1	4.2343163422736225	8.589805	-1713.353	-232.92596113310762
15	2	4.643028178251692	7.683656	433.5705	33886.34063876493
15	3	4.579128797606363	7.5664163	-27.2576	7642.992497172699
15	4	4.871600712654619	8.022046	-1337.7005	469.3140448933699
15	5	4.064622911200657	7.623623	-554.0104	1616.9716379953932
15	6	4.602820699951948	7.5523443	-418.5113	5766.214030765314
15	7	4.364491636033922	6.9507813	-440.0862	1253.1773874504604
15	8	4.689433017020746	7.7961326	-451.7561	10658.977151385701
16	1	4.656756893269724	7.143262	-206.073	735.1045529116655
16	2	4.779432325762884	7.180843	-498.4606	-156.27969742663058
16	3	4.3237177259673905	7.181796	-259.7037	733.4007297597549
16	4	4.656160894980823	7.2490973	-102.3782	805.7366466849937
16	5	4.3361494374100555	7.291008	650.8529	2760.91434141802
16	6	4.55596311395541	7.0551424	-1048.3874	-3808.313715879764
16	7	4.505525213517228	7.4407434	-659.0752	-369.4101011456296
16	8	4.760041441959987	7.550744	0.5468	604.8261692293861
17	1	4.057557314608741	7.3697414	659.9512	2944.4782483544327
17	2	4.765631070155006	7.1348653	-1812.9181	-3541.2636892939195
17	3	4.6964387691913725	7.0713434	-2082.5288	-7543.274552250745
17	4	4.6204449995153745	7.075346	-948.1999	1842.475962073205
17	5	4.4403939654996325	7.38282	264.5504	3829.1237502367994
17	6	4.489090061776608	7.2507024	-111.2185	4341.605916471426
17	7	4.7947722562083195	7.380405	-1167.188	-245.6389532978885
17	8	4.553518438850796	6.9247255	-492.4657	3739.638100121934
18	1	4.32826813805498	7.1191173	669.1327	7378.346459427135
18	2	4.6349754169825035	7.111941	-1008.2186	13496.423198538927
18	3	4.675595409561468	7.765611	-1172.537	1143.5689502413484
18	4	5.165988482440985	7.4866514	-2200.1048	-203.5716113848682
18	5	4.5845400860452274	7.3404374	-858.03	4406.862974689321
18	6	4.5248917336661405	6.8476357	-1138.4477	3869.165989394585
18	7	4.126474197179332	7.7628508	-1198.4078	925.2007964125644
18	8	4.976839916079152	7.422692	-1695.5902	864.7705629532759
19	1	4.720232289936103	7.523458	365.633	2139.5257311995415
19	3	4.701955813717931	7.154176	-2151.703	-3270.576434564863
19	4	4.573585025319126	7.507985	393.44	2157.4574155258615
19	5	4.903438026634194	7.7349133	685.3865	1870.4836434897945
19	6	4.183797993006516	7.304796	858.7353	3657.636672491594
19	7	4.398229978351568	7.3070307	-1639.2375	-953.023688069604
19	8	4.487030120209177	7.005834	128.0688	10412.442915911315
20	1	4.6644375149933754	7.1414804	-49.713	-979.6544255537967
20	2	4.4938670110383185	6.9717164	466.9603	10827.14921494739
20	3	4.530405273037217	7.2421145	-245.1434	-1189.717079925214
20	4	4.461345850811582	6.9721427	-871.3755	-25404.930447832645
20	5	4.721810297802862	7.1020713	-588.4184	-3089.078057086322
20	6	4.607738026313601	6.9779515	-771.4706	-6359.877366521102
20	7	3.3115849574145115	7.866736	-1011.6684	-799.2586839988584
20	8	4.251225689391168	7.8239655	-163.1996	-315.59521921029653
21	1	4.174443790455853	7.1878147	2943.0388	10604.908119558735
21	2	4.44535399414485	7.2243714	-1552.3061	-2296.061137419636
21	3	4.552685777740587	6.8914056	-543.018	3261.953042204689
21	4	4.57984928019575	6.883407	87.6266	7397.430920302911
21	5	4.515228712254983	7.075861	-1638.2988	-4196.690887789041
21	6	4.666926817564221	7.7023335	-1444.9851	-712.1721766940495
21	7	4.774635434236521	7.1188674	-1544.9131	-2002.8649346888837
21	8	4.42262597013891	6.7546635	-612.7374	1404.9670397464988
22	1	5.240514415309309	7.5050826	-1251.2214	-628.3165224057551
22	2	4.5285677383928	6.914007	-1034.1645	-2082.0338286160068
22	3	4.554676794086262	7.0375443	-337.8772	830.0447368301086
22	4	3.87235889754363	7.176781	837.6878	2002.3999497073216
22	5	4.770156670714404	7.182972	-1045.1869	-863.6780522096637
22	6	4.718588387163617	7.6030726	-348.7938	294.7024180521505
22	7	4.576964129808059	7.192079	-191.0507	860.825887312908
22	8	4.4138947322886946	7.073978	-1839.1413	-3291.049174510373
23	1	4.420500080263988	6.920706	380.4737	13174.802079678466
23	2	4.554717455379494	6.889445	-342.5413	12570.89537766466
23	3	4.78093087950964	7.21989	-1568.3014	-1513.5890163091788
23	4	4.694816499215786	7.308017	-877.2285	435.47449556245937
23	5	4.514977827466787	7.1923437	-812.3274	775.79529077754
23	6	4.245467935054351	7.370818	747.9246	3349.460367973447
23	7	4.504559792811445	7.169668	-1472.2771	-1937.3976001227331
23	8	4.498619082579534	7.6402235	-1010.7092	33.315755725503536
24	1	4.715344613238415	7.128987	-1823.112	-5185.126107339306
24	2	4.645635821110329	7.1018925	-410.4098	-218.92927828140594
24	3	4.578600523227743	6.940783	-786.6744	-9866.677062630613
24	4	4.6140388576671185	7.90139	-967.7533	-575.0061568947926
24	5	4.505430713423707	7.1117554	-317.5403	100.34639608784747
24	6	4.496026760930983	7.147373	-971.4193	-2396.3169874318837
24	7	4.390997515925898	7.356585	-375.0844	-62.43842618126526
24	8	4.405063122232106	7.2775345	286.62	1400.5048363009757
25	1	4.317235035549845	6.9549007	-231.396	2628.7521869726193
25	2	4.321588483695779	7.1525345	1251.9343	6553.34363944425
25	3	4.908648356139982	7.4362583	-41.2977	1333.81158851961
25	4	4.8829528577997605	7.182754	-791.657	-12.426055405022055
25	5	4.510980876919264	7.0088325	-161.5323	6236.70415023705
25	6	4.557593236393969	6.954056	-1420.9259	-11002.542759412625
25	7	4.353579014176562	7.6462927	-1.9176	997.4914237532133
25	8	5.054425637810997	7.4212976	-792.0706	-7.985600883325965
26	1	3.913058514803009	7.285043	-348.7172	1575.9403166247034
26	2	5.154964241384025	8.045897	4290.792	4341.2404297317435
26	3	4.780324733978824	7.21784	-1047.7854	1305.7704129264655
26	4	4.346614529665831	7.1111965	119.6625	5977.277046984844
26	5	4.6005726803085105	6.9070706	-2004.9907	-9669.8940075682
26	6	4.6234755148314	7.2061234	-1021.6114	1833.078430702498
26	7	4.530837307811217	6.824654	-334.851	6016.5922655711
26	8	4.233785536000411	7.5927567	-1313.2031	157.25636315899644
27	1	4.600492384173068	7.0501657	-924.379	9939.37531468925
27	2	5.602218823487509	8.707969	760.665	1378.1364997603146
27	3	4.453515193511798	6.829484	-1003.3757	7718.607048145051
27	4	4.687557699594502	7.381176	-1041.3283	2539.978182182551
27	5	4.577773330164814	6.939699	-1288.4752	22245.49132246299
27	6	4.837288749161326	7.3614497	-676.615	2806.8366958644483
27	7	4.630455035549216	7.1702237	-2227.4132	-988.0198841470622
27	8	4.564354984409111	7.156289	-929.3729	4350.720221124115
28	1	4.5331965798218805	6.9728756	-557.9251	2988.821961932012
28	2	4.6039512175030115	6.8837385	-6.2231	8215.550449965613
28	3	4.620657419674551	6.9626274	-1516.7499	-2807.6866576074326
28	4	4.712505189021218	7.102862	-1224.9258	-695.7284455673632
28	5	4.521918961936261	6.965949	-257.4219	5025.609204891881
28	6	4.64979071991146	7.134771	-4068.3769	-10860.928611742744
28	7	4.355702870988808	7.032353	-1392.4327	-1616.5963035736597
28	8	5.320731584317298	7.558135	-1790.0385	-765.5921035239713
29	1	4.549625794131747	7.0840926	-996.9514	4755.768177766376
29	2	4.550262055071754	6.986268	44.6137	30963.776709264694
29	3	4.601591892409412	7.2686305	-968.5617	2243.1716695335713
29	4	4.608601028521195	7.1028767	-612.1656	8480.30183149992
29	5	4.04273975433501	7.127918	-295.396	2184.718398360691
29	6	3.845579942887773	7.2585573	-944.2295	747.9320935970877
29	7	4.649315645723295	7.0551043	-1306.8901	3456.127384009212
29	8	4.634213619396328	7.1242013	-511.8832	9089.94596275279
30	1	4.730021695146122	7.106465	-1811.6382	-2375.800604742633
30	2	4.742639028096741	7.0880966	-777.6251	-731.1552023799164
30	3	4.286201801939355	7.0839477	-640.1257	-1379.676174164908
30	4	4.822592012504782	7.2127457	13.5407	411.8228862255971
30	5	4.795939214840761	8.333818	240.8366	361.8521190817443
30	6	4.073098238010145	7.5858727	-1571.1997	-2248.6658997512227
30	7	4.655909772506601	7.4812407	-131.6628	262.5451050676168
30	8	4.67020069144606	7.268041	-832.3791	-903.8825930323256
31	1	4.521598497921651	6.8663826	-585.5134	4675.644121919654
31	2	4.284654029336353	7.1915183	188.0417	4535.717739803907
31	3	4.27491286441208	7.789448	-433.0362	1687.3524001857181
31	4	4.499869323763472	7.319853	889.7818	8420.336699957385
31	5	4.936059626204858	7.257776	-1539.8592	959.0110114650214
31	6	4.08863669530658	7.217822	-1546.3544	433.7804686881685
31	7	4.498655578809011	7.029432	-421.7636	7517.334243579548
31	8	4.54558885931764	7.188788	-1319.5044	2278.6785579301804
32	1	4.525347267331939	7.4514966	-393.7099	285.2078965063086
32	2	4.749983478111453	7.6189613	-134.0001	583.0445132287496
32	3	4.785416106856712	7.1420593	-1112.0754	-1644.4495007880616
32	4	4.453939128354957	7.108024	1858.7258	8818.133659860492
32	5	4.526260984274814	6.9238396	467.1886	17081.937003124018
32	6	4.379947563804692	7.2565312	1608.3314	4830.059453840042
32	7	4.967222715932756	7.36574	689.0699	2370.4318094446676
32	8	4.4793692472825875	7.254217	-437.3637	358.9310956765804
33	1	4.653940165003051	6.9664726	134.6375	-2376.6239741152103
33	2	4.6556190259305446	7.0722313	-1392.515	-11349.109890651298
33	3	4.313643669231941	7.5415125	2353.8412	2856.129480766595
33	4	4.611755921035022	6.9548726	-328.1042	-7218.3556868035685
33	5	4.874351752579721	7.350899	-2375.9489	-5574.991076824295
33	6	4.491288728810623	7.446031	-999.1666	-2391.5560086952783
33	7	4.708733455197589	7.1313343	-364.8752	-3434.245110466339
33	8	4.821173985775745	7.298415	299.1395	-401.79147333947424
34	1	4.600977896008887	6.908027	-716.9849	4269.011937204909
34	2	4.048538356069439	7.05134	-127.4506	2270.819915933089
34	3	4.632863279751291	7.014245	-939.4232	5986.844341850137
34	4	4.59972829283712	7.0104885	-1369.729	255.31353562863603
34	5	4.539611240871599	6.8903785	-1239.1107	885.6019142841401
34	6	4.553679905411876	6.952363	-975.7677	3759.5289245440554
34	7	5.112045087200447	7.7445908	-168.0707	1512.08000989485
34	8	4.498392424531824	7.072617	181.6034	10936.914620991865
35	1	4.553655266037299	6.792338	358.7151	9017.43057410999
35	2	5.0434397341111445	7.3389297	-1547.0906	-343.54219618373673
35	3	5.011128548119683	7.22884	-535.4331	1836.8962240783294
35	4	4.055046562386457	8.22258	-400.0919	702.6025938755928
35	5	4.387562210737616	7.2309	-1122.6646	770.8859093827401
35	6	4.596731622582311	7.0521417	-1366.3885	30.634337699913264
35	7	4.295666549563096	7.085735	-125.1711	4185.414034211244
35	8	4.561972276443281	6.9257383	-790.9824	6759.693207949481
36	1	4.748826616010418	7.151184	-1169.8503	-1437.50331394369
36	2	4.527174263129535	6.8215857	-455.6151	3618.9496014073648
36	3	4.527917016809759	6.8532786	-676.033	2379.9506701186583
36	4	4.826777853802372	7.374245	-1034.3652	-480.18908668868664
36	5	4.6887714977627315	7.1713395	-151.6188	2363.89792891464
36	6	4.424926587317616	7.4013867	-123.4976	1225.7248604723984
36	7	4.507094174405834	6.852139	-363.7576	6630.560966350528
36	8	4.02296249241175	7.4970717	-853.3559	-81.5209245677117
37	1	4.67986682037673	7.3448663	-2526.7552	-3953.1297625929697
37	2	4.870180289959362	7.2794404	-554.8119	262.8490615761275
37	3	5.206569492313728	7.4620085	-531.2378	169.3169130231029
37	4	4.564121211571008	7.005419	-1133.1098	-3506.6072055282016
37	5	4.174109113897348	7.521988	-503.2263	233.42513205799105
37	6	4.5292951292693715	7.446978	-1277.0131	-937.1645991656142
37	7	4.534475098801823	6.9476385	-2118.0041	-19277.53345721984
37	8	4.957252118041248	7.431099	-2067.0004	-2175.137121196954
