code	RMSD	Rg
001283	3.4100	7.8329
004970	4.4190	8.6301
005326	4.7157	8.9188
005871	4.9004	8.9792
006196	5.4164	9.6422
006255	5.5576	9.7419
008140	6.9305	10.0965
008577	6.4282	10.0232
008806	6.7400	10.1225
010790	7.2560	9.5704
013383	6.6148	9.5629
014069	6.0743	9.5274
014411	6.0699	9.5502
016052	7.6320	9.8565
016347	6.9211	9.6382
018361	7.2536	9.2376
019185	7.4237	8.9135
019667	7.7679	9.4436
020008	7.9361	9.5551
020810	6.5574	8.5694
021686	5.8244	7.7144
021948	5.5817	7.3683
022002	5.3497	7.2740
023505	5.1382	7.3154
023780	5.1930	7.4477
026836	4.4646	6.8809
029412	4.7891	6.8934
029714	5.1677	7.7248
029779	4.9944	7.5240
030499	4.5884	6.9697
032830	4.0697	7.1302
033621	4.4338	7.2089
034158	4.6508	7.6061
034277	4.3610	7.0504
035536	5.1488	8.3537
039858	7.7070	10.5075
041073	7.5757	10.1848
042976	7.5479	9.9823
043211	7.0976	9.5501
043477	7.3211	9.6154
043917	6.9418	9.5864
044486	6.2558	9.1135
044578	6.0767	9.1441
044617	6.2021	9.2248
044738	6.3769	9.2264
045180	5.6136	8.7796
046291	7.7532	10.3913
046532	7.5715	10.4179
047273	8.3865	10.6653
047302	8.0918	10.5101
049606	6.8744	9.7890
049619	6.9914	9.9538
049886	7.2633	9.8720
052498	6.2857	10.0245
052792	6.0876	10.0764
052852	6.3664	10.1720
053202	6.7056	10.4047
053323	6.2324	10.1499
053691	5.5371	9.6368
054711	4.8264	9.1485
055186	5.3772	9.5773
055206	5.3827	9.6077
055250	5.3002	9.6818
057233	7.8422	10.6593
057877	7.1093	10.2026
061506	8.0985	11.0360
061627	8.4230	11.1103
063031	8.2784	11.7743
064833	7.6563	11.3740
065447	6.6073	10.9092
066017	7.0406	11.3578
067743	3.9022	8.7039
068291	4.2537	8.5935
068707	4.1346	8.5758
068760	4.1013	8.5065
069192	4.4785	8.9236
070248	3.9748	8.7383
071802	4.5505	9.3494
071980	4.6444	9.4115
072070	4.7799	9.5020
072114	4.7299	9.4778
074878	3.9278	7.7367
075466	4.1775	8.5475
075734	4.2798	8.5837
078737	6.9573	10.9592
079239	7.8295	11.4958
079424	7.8181	11.2329
080758	9.6871	12.8560
084288	10.5946	13.3961
084899	10.4335	13.7352
085772	10.6590	13.8651
085857	10.3774	13.6935
086379	9.8954	13.2726
091283	8.8490	12.1333
092339	9.4974	12.9186
093637	6.7762	10.7353
094443	7.4661	10.6142
099171	7.2333	9.8616
099504	7.3974	10.1789
099927	7.8984	10.3462
